region_name,state,dimension,intercept,slope,r_squared,no_sites,drainage_area_range,recurrence_range,median_recurrence,reference
IN Northern Moraine and Lake,IN,width,13.4,0.318,0.92,25,0.26-941,,,Robinson (2013)
IN Northern Moraine and Lake,IN,depth,1.3,0.176,0.75,25,0.26-941,,,Robinson (2013)
IN Northern Moraine and Lake,IN,area,17,0.495,0.92,25,0.26-941,,,Robinson (2013)
IN Central Till Plain,IN,width,18.2,0.327,0.94,31,0.04-812,,,Robinson (2013)
IN Central Till Plain,IN,depth,1.6,0.159,0.56,31,0.04-812,,,Robinson (2013)
IN Central Till Plain,IN,area,28.8,0.487,0.88,31,0.04-812,,,Robinson (2013)
IN Southern Hills and Lowlands,IN,width,27.2,0.286,0.94,26,0.06-186,,,Robinson (2013)
IN Southern Hills and Lowlands,IN,depth,1.9,0.183,0.58,26,0.06-186,,,Robinson (2013)
IN Southern Hills and Lowlands,IN,area,50.9,0.468,0.87,26,0.06-186,,,Robinson (2013)
NC Piedmont Rural,NC,width,11.89,0.43,0.81,13,0.2-128,1.1-1.8,1.4,Harman et al. (1999)
NC Piedmont Rural,NC,depth,1.5,0.32,0.88,13,0.2-128,1.1-1.8,1.4,Harman et al. (1999)
NC Piedmont Rural,NC,area,21.43,0.68,0.95,13,0.2-128,1.1-1.8,1.4,Harman et al. (1999)
NC Piedmont Rural,NC,discharge,89.04,0.72,0.97,13,0.2-128,1.1-1.8,1.4,Harman et al. (1999)
NC Piedmont Urban,NC,width,24.39,0.33,0.88,17,0.2-42.6,1.1-1.5,1.3,Doll et al. (2002)
NC Piedmont Urban,NC,depth,2.43,0.33,0.87,17,0.2-42.6,1.1-1.5,1.3,Doll et al. (2002)
NC Piedmont Urban,NC,area,60.34,0.65,0.95,17,0.2-42.6,1.1-1.5,1.3,Doll et al. (2002)
NC Piedmont Urban,NC,discharge,306.8,0.63,0.94,17,0.2-42.6,1.1-1.5,1.3,Doll et al. (2002)
NC Coastal Plain,NC,width,9.64,0.38,0.95,22,0.6-182,<1.0-1.1,<1.0,Sweet & Geratz (2003)
NC Coastal Plain,NC,depth,0.98,0.36,0.92,22,0.6-182,<1.0-1.1,<1.0,Sweet & Geratz (2003)
NC Coastal Plain,NC,area,9.43,0.74,0.96,22,0.6-182,<1.0-1.1,<1.0,Sweet & Geratz (2003)
NC Coastal Plain,NC,discharge,8.79,0.76,0.92,22,0.6-182,<1.0-1.1,<1.0,Sweet & Geratz (2003)
NC Mountains,NC,width,19.9,0.36,0.81,12,2.0-126,1.10-1.90,1.59,Harman et al. (1999)
NC Mountains,NC,depth,1.1,0.31,0.79,12,2.0-126,1.10-1.90,1.59,Harman et al. (1999)
NC Mountains,NC,area,22.1,0.67,0.88,12,2.0-126,1.10-1.90,1.59,Harman et al. (1999)
NC Mountains,NC,discharge,115.7,0.73,0.88,12,2.0-126,1.10-1.90,1.59,Harman et al. (1999)
MA,MA,width,15.0418,0.4038,0.88,33,0.60-329,1.03-3.52,1.39,Bent & Waite (2013)
MA,MA,depth,0.9502,0.296,0.82,33,0.60-329,1.03-3.52,1.39,Bent & Waite (2013)
MA,MA,area,14.1156,0.7026,0.91,33,0.60-329,1.03-3.52,1.39,Bent & Waite (2013)
MA,MA,discharge,37.1364,0.7996,0.77,33,0.60-329,1.03-3.52,1.39,Bent & Waite (2013)
OH Region A,OH,width,18,0.356,0.91,45,0.29-685,1.01-9.65,1.36,Sherwood & Huitger (2005)
OH Region A,OH,depth,1.52,0.265,0.88,45,0.29-685,1.01-9.65,1.36,Sherwood & Huitger (2005)
OH Region A,OH,area,27.1,0.621,0.95,45,0.29-685,1.01-9.65,1.36,Sherwood & Huitger (2005)
OH Region A,OH,discharge,93.3,0.637,0.82,45,0.29-685,1.01-9.65,1.36,Sherwood & Huitger (2005)
OH Region B,OH,width,32,0.356,0.91,5,0.55-387,1.26-5.55,1.78,Sherwood & Huitger (2005)
OH Region B,OH,depth,2.02,0.256,0.88,5,0.55-387,1.26-5.55,1.78,Sherwood & Huitger (2005)
OH Region B,OH,area,64.5,0.621,0.95,5,0.55-387,1.26-5.55,1.78,Sherwood & Huitger (2005)
OH Region B,OH,discharge,230,0.637,0.82,5,0.55-387,1.26-5.55,1.78,Sherwood & Huitger (2005)
MD Allegheny Plateau/Valley and Ridge,MD,width,13.87,0.44,0.92,14,0.2-73.1,1.05-1.8,1.51,McCandless (2003a)
MD Allegheny Plateau/Valley and Ridge,MD,depth,0.95,0.31,0.91,14,0.2-73.1,1.05-1.8,1.51,McCandless (2003a)
MD Allegheny Plateau/Valley and Ridge,MD,area,13.17,0.75,0.93,14,0.2-73.1,1.05-1.8,1.51,McCandless (2003a)
MD Allegheny Plateau/Valley and Ridge,MD,discharge,34.02,0.94,0.99,14,0.2-73.1,1.05-1.8,1.51,McCandless (2003a)
MD Eastern Coastal Plain,MD,width,10.3,0.38,0.8,14,0.3-113,1.04-1.37,1.14,McCandless (2003b)
MD Eastern Coastal Plain,MD,depth,1.01,0.32,0.87,14,0.3-113,1.04-1.37,1.14,McCandless (2003b)
MD Eastern Coastal Plain,MD,area,10.34,0.7,0.96,14,0.3-113,1.04-1.37,1.14,McCandless (2003b)
MD Eastern Coastal Plain,MD,discharge,14.65,0.76,0.97,14,0.3-113,1.04-1.37,1.14,McCandless (2003b)
MD Western Coastal Plain,MD,width,10.3,0.38,0.8,14,0.3-113,1.04-1.37,1.14,McCandless (2003b)
MD Western Coastal Plain,MD,depth,1.01,0.32,0.87,14,0.3-113,1.04-1.37,1.14,McCandless (2003b)
MD Western Coastal Plain,MD,area,10.34,0.7,0.96,14,0.3-113,1.04-1.37,1.14,McCandless (2003b)
MD Western Coastal Plain,MD,discharge,31.35,0.73,0.98,14,0.3-113,1.04-1.37,1.14,McCandless (2003b)
MD Piedmont,MD,width,14.78,0.39,0.83,23,1.47-102,1.26-1.75,1.5,McCandless & Everett (2002)
MD Piedmont,MD,depth,1.18,0.34,0.86,23,1.47-102,1.26-1.75,1.5,McCandless & Everett (2002)
MD Piedmont,MD,area,17.42,0.73,0.95,23,1.47-102,1.26-1.75,1.5,McCandless & Everett (2002)
MD Piedmont,MD,discharge,84.56,0.76,0.93,23,1.47-102,1.26-1.75,1.5,McCandless & Everett (2002)
ME Coastal and Central,ME,width,7.67,0.52,0.82,15,2.92-298,<1,<1,Dudley (2004)
ME Coastal and Central,ME,depth,0.594,0.34,0.76,15,2.92-298,<1,<1,Dudley (2004)
